fulfillmentLocationId,onHand,productId
color_warehouse_1,665,000000
color_warehouse_1,307,000080
color_warehouse_1,698,00008B
color_warehouse_1,277,0000CD
color_warehouse_1,381,0000FF
color_warehouse_1,193,006400
color_warehouse_1,202,008000
color_warehouse_1,689,008080
color_warehouse_1,679,008B8B
color_warehouse_1,249,00BFFF
color_warehouse_1,183,00CED1
color_warehouse_1,428,00FA9A
color_warehouse_1,129,00FF00
color_warehouse_1,831,00FF7F
color_warehouse_1,518,00FFFF
color_warehouse_1,222,191970
color_warehouse_1,630,1E90FF
color_warehouse_1,67,20B2AA
color_warehouse_1,119,228B22
color_warehouse_1,415,2E8B57
color_warehouse_1,123,2F4F4F
color_warehouse_1,949,32CD32
color_warehouse_1,811,3CB371
color_warehouse_1,989,40E0D0
color_warehouse_1,350,4169E1
color_warehouse_1,645,4682B4
color_warehouse_1,34,483D8B
color_warehouse_1,956,48D1CC
color_warehouse_1,592,4B0082
color_warehouse_1,906,556B2F
color_warehouse_1,598,5F9EA0
color_warehouse_1,203,6495ED
color_warehouse_1,144,663399
color_warehouse_1,791,66CDAA
color_warehouse_1,601,696969
color_warehouse_1,443,6A5ACD
color_warehouse_1,252,6B8E23
color_warehouse_1,79,708090
color_warehouse_1,241,778899
color_warehouse_1,766,7B68EE
color_warehouse_1,553,7CFC00
color_warehouse_1,21,7FFF00
color_warehouse_1,561,7FFFD4
color_warehouse_1,160,800000
color_warehouse_1,344,800080
color_warehouse_1,961,808000
color_warehouse_1,956,808080
color_warehouse_1,452,87CEEB
color_warehouse_1,983,87CEFA
color_warehouse_1,917,8A2BE2
color_warehouse_1,941,8B0000
color_warehouse_1,595,8B008B
color_warehouse_1,112,8B4513
color_warehouse_1,309,8FBC8F
color_warehouse_1,710,90EE90
color_warehouse_1,142,9370DB
color_warehouse_1,200,9400D3
color_warehouse_1,396,98FB98
color_warehouse_1,845,9932CC
color_warehouse_1,317,9ACD32
color_warehouse_1,580,A0522D
color_warehouse_1,717,A52A2A
color_warehouse_1,376,A9A9A9
color_warehouse_1,271,ADD8E6
color_warehouse_1,527,ADFF2F
color_warehouse_1,579,AFEEEE
color_warehouse_1,401,B0C4DE
color_warehouse_1,963,B0E0E6
color_warehouse_1,123,B22222
color_warehouse_1,801,B8860B
color_warehouse_1,585,BA55D3
color_warehouse_1,690,BC8F8F
color_warehouse_1,382,BDB76B
color_warehouse_1,77,C0C0C0
color_warehouse_1,310,C71585
color_warehouse_1,899,CD5C5C
color_warehouse_1,436,CD853F
color_warehouse_1,352,D2691E
color_warehouse_1,557,D2B48C
color_warehouse_1,649,D3D3D3
color_warehouse_1,580,D8BFD8
color_warehouse_1,5,DA70D6
color_warehouse_1,243,DAA520
color_warehouse_1,286,DB7093
color_warehouse_1,320,DC143C
color_warehouse_1,333,DCDCDC
color_warehouse_1,173,DDA0DD
color_warehouse_1,584,DEB887
color_warehouse_1,745,E0FFFF
color_warehouse_1,93,E6E6FA
color_warehouse_1,765,E9967A
color_warehouse_1,242,EE82EE
color_warehouse_1,550,EEE8AA
color_warehouse_1,177,F08080
color_warehouse_1,972,F0E68C
color_warehouse_1,540,F0F8FF
color_warehouse_1,119,F0FFF0
color_warehouse_1,84,F0FFFF
color_warehouse_1,900,F4A460
color_warehouse_1,497,F5DEB3
color_warehouse_1,706,F5F5DC
color_warehouse_1,548,F5F5F5
color_warehouse_1,976,F5FFFA
color_warehouse_1,980,F8F8FF
color_warehouse_1,589,FA8072
color_warehouse_1,150,FAEBD7
color_warehouse_1,309,FAF0E6
color_warehouse_1,770,FAFAD2
color_warehouse_1,386,FDF5E6
color_warehouse_1,873,FF0000
color_warehouse_1,227,FF00FF
color_warehouse_1,987,FF1493
color_warehouse_1,584,FF4500
color_warehouse_1,946,FF6347
color_warehouse_1,787,FF69B4
color_warehouse_1,188,FF7F50
color_warehouse_1,915,FF8C00
color_warehouse_1,453,FFA07A
color_warehouse_1,18,FFA500
color_warehouse_1,345,FFB6C1
color_warehouse_1,547,FFC0CB
color_warehouse_1,6,FFD700
color_warehouse_1,726,FFDAB9
color_warehouse_1,991,FFDEAD
color_warehouse_1,466,FFE4B5
color_warehouse_1,927,FFE4C4
color_warehouse_1,251,FFE4E1
color_warehouse_1,174,FFEBCD
color_warehouse_1,817,FFEFD5
color_warehouse_1,982,FFF0F5
color_warehouse_1,862,FFF5EE
color_warehouse_1,964,FFF8DC
color_warehouse_1,272,FFFACD
color_warehouse_1,910,FFFAF0
color_warehouse_1,400,FFFAFA
color_warehouse_1,73,FFFF00
color_warehouse_1,754,FFFFE0
color_warehouse_1,68,FFFFF0
color_warehouse_1,19,FFFFFF
color_warehouse_1,401,241C1C
color_warehouse_1,850,322726
color_warehouse_1,198,443533
color_warehouse_1,782,6A5A4E
color_warehouse_1,101,796A58
color_warehouse_1,908,462D24
color_warehouse_1,95,52352A
color_warehouse_1,502,5D392A
color_warehouse_1,759,68402F
color_warehouse_1,194,7A4830
color_warehouse_1,46,885735
color_warehouse_1,973,976538
color_warehouse_1,897,A3743B
color_warehouse_1,596,AF873E
color_warehouse_1,250,7E625E
color_warehouse_1,999,8C7168
color_warehouse_1,827,9D8275
color_warehouse_1,925,A9917E
color_warehouse_1,787,817B60
color_warehouse_1,772,958E6F
color_warehouse_1,111,A9A37E
color_warehouse_1,710,CCC9AA
color_warehouse_1,614,CCAFAA
color_warehouse_1,209,D8C0B6
color_warehouse_1,601,E3D0C4
color_warehouse_1,220,E9DBCC
color_warehouse_1,234,04598F
color_warehouse_1,666,046397
color_warehouse_1,745,046CA5
color_warehouse_1,212,0480A4
color_warehouse_1,736,1398A9
color_warehouse_1,988,26A4AD
color_warehouse_1,916,36B4B0
color_warehouse_1,465,4DC4B1
color_warehouse_1,480,54DEB2
color_warehouse_1,489,553A47
color_warehouse_1,298,784452
color_warehouse_1,722,904851
color_warehouse_1,686,A84E4E
color_warehouse_1,989,C1604D
color_warehouse_1,623,D47055
color_warehouse_1,283,59313B
color_warehouse_1,769,6F393A
color_warehouse_1,857,80483D
color_warehouse_1,52,93573F
color_warehouse_1,737,A36A41
color_warehouse_1,360,B28142
color_warehouse_1,365,843C35
color_warehouse_1,740,9C4C3D
color_warehouse_1,561,AD6143
color_warehouse_1,374,BA7845
color_warehouse_1,620,C99147
color_warehouse_1,279,A26846
color_warehouse_1,657,B67D4F
color_warehouse_1,276,BF8953
color_warehouse_1,2,C59759
color_warehouse_1,486,CBA65B
color_warehouse_1,794,945F3C
color_warehouse_1,266,B28143
color_warehouse_1,188,CDA544
color_warehouse_1,672,ECCF49
color_warehouse_1,77,8D492B
color_warehouse_1,569,9C522F
color_warehouse_1,229,AD5E33
color_warehouse_1,556,BF6B3E
color_warehouse_1,55,CF7B43
color_warehouse_1,767,505B1E
color_warehouse_1,774,626B20
color_warehouse_1,631,777922
color_warehouse_1,90,898B23
color_warehouse_1,17,9D9F28
color_warehouse_1,369,1F6C6B
color_warehouse_1,49,20806A
color_warehouse_1,471,469870
color_warehouse_1,905,75B47A
color_warehouse_1,295,8CC47B
color_warehouse_1,575,483F50
color_warehouse_1,992,664D6E
color_warehouse_1,282,7F5583
color_warehouse_1,138,975E95
color_warehouse_1,249,AB629C
