categoryId,productId
html,000000
htmlDark,000000
html,000080
htmlCool,000080
htmlDark,000080
html,00008B
htmlCool,00008B
htmlDark,00008B
html,0000CD
htmlCool,0000CD
htmlDark,0000CD
html,0000FF
htmlCool,0000FF
html,006400
htmlDark,006400
html,008000
htmlDark,008000
html,008080
htmlCool,008080
html,008B8B
htmlCool,008B8B
html,00BFFF
htmlCool,00BFFF
html,00CED1
htmlCool,00CED1
html,00FA9A
htmlCool,00FA9A
html,00FF00
html,00FF7F
htmlCool,00FF7F
html,00FFFF
htmlCool,00FFFF
html,191970
htmlCool,191970
htmlDark,191970
html,1E90FF
htmlCool,1E90FF
html,20B2AA
htmlCool,20B2AA
html,228B22
htmlDark,228B22
html,2E8B57
htmlCool,2E8B57
html,2F4F4F
htmlCool,2F4F4F
htmlDark,2F4F4F
html,32CD32
html,3CB371
htmlCool,3CB371
html,40E0D0
htmlCool,40E0D0
html,4169E1
htmlCool,4169E1
html,4682B4
htmlCool,4682B4
html,483D8B
htmlCool,483D8B
html,48D1CC
htmlCool,48D1CC
html,4B0082
htmlCool,4B0082
htmlDark,4B0082
html,556B2F
htmlWarm,556B2F
htmlDark,556B2F
html,5F9EA0
htmlCool,5F9EA0
html,6495ED
htmlCool,6495ED
html,663399
htmlCool,663399
html,66CDAA
htmlCool,66CDAA
html,696969
html,6A5ACD
htmlCool,6A5ACD
html,6B8E23
htmlWarm,6B8E23
html,708090
htmlCool,708090
html,778899
htmlCool,778899
html,7B68EE
htmlCool,7B68EE
html,7CFC00
htmlWarm,7CFC00
html,7FFF00
htmlWarm,7FFF00
html,7FFFD4
htmlCool,7FFFD4
htmlLight,7FFFD4
html,800000
htmlWarm,800000
htmlDark,800000
html,800080
html,808000
htmlWarm,808000
html,808080
html,87CEEB
htmlCool,87CEEB
htmlLight,87CEEB
html,87CEFA
htmlCool,87CEFA
htmlLight,87CEFA
html,8A2BE2
htmlCool,8A2BE2
html,8B0000
htmlWarm,8B0000
htmlDark,8B0000
html,8B008B
html,8B4513
htmlWarm,8B4513
htmlDark,8B4513
html,8FBC8F
html,90EE90
htmlLight,90EE90
html,9370DB
htmlCool,9370DB
html,9400D3
htmlCool,9400D3
html,98FB98
htmlLight,98FB98
html,9932CC
htmlCool,9932CC
html,9ACD32
htmlWarm,9ACD32
html,A0522D
htmlWarm,A0522D
html,A52A2A
htmlWarm,A52A2A
htmlDark,A52A2A
html,A9A9A9
html,ADD8E6
htmlCool,ADD8E6
htmlLight,ADD8E6
html,ADFF2F
htmlWarm,ADFF2F
html,AFEEEE
htmlCool,AFEEEE
htmlLight,AFEEEE
html,B0C4DE
htmlCool,B0C4DE
htmlLight,B0C4DE
html,B0E0E6
htmlCool,B0E0E6
htmlLight,B0E0E6
html,B22222
htmlWarm,B22222
htmlDark,B22222
html,B8860B
htmlWarm,B8860B
html,BA55D3
htmlCool,BA55D3
html,BC8F8F
htmlWarm,BC8F8F
html,BDB76B
htmlWarm,BDB76B
html,C0C0C0
htmlLight,C0C0C0
html,C71585
htmlWarm,C71585
html,CD5C5C
htmlWarm,CD5C5C
html,CD853F
htmlWarm,CD853F
html,D2691E
htmlWarm,D2691E
html,D2B48C
htmlWarm,D2B48C
htmlLight,D2B48C
html,D3D3D3
htmlLight,D3D3D3
html,D8BFD8
htmlLight,D8BFD8
html,DA70D6
htmlWarm,DA70D6
htmlLight,DA70D6
html,DAA520
htmlWarm,DAA520
html,DB7093
htmlWarm,DB7093
html,DC143C
htmlWarm,DC143C
html,DCDCDC
htmlLight,DCDCDC
html,DDA0DD
htmlLight,DDA0DD
html,DEB887
htmlWarm,DEB887
htmlLight,DEB887
html,E0FFFF
htmlCool,E0FFFF
htmlLight,E0FFFF
html,E6E6FA
htmlCool,E6E6FA
htmlLight,E6E6FA
html,E9967A
htmlWarm,E9967A
html,EE82EE
htmlLight,EE82EE
html,EEE8AA
htmlWarm,EEE8AA
htmlLight,EEE8AA
html,F08080
htmlWarm,F08080
html,F0E68C
htmlWarm,F0E68C
htmlLight,F0E68C
html,F0F8FF
htmlCool,F0F8FF
htmlLight,F0F8FF
html,F0FFF0
htmlLight,F0FFF0
html,F0FFFF
htmlCool,F0FFFF
htmlLight,F0FFFF
html,F4A460
htmlWarm,F4A460
html,F5DEB3
htmlWarm,F5DEB3
htmlLight,F5DEB3
html,F5F5DC
htmlWarm,F5F5DC
htmlLight,F5F5DC
html,F5F5F5
htmlLight,F5F5F5
html,F5FFFA
htmlCool,F5FFFA
htmlLight,F5FFFA
html,F8F8FF
htmlCool,F8F8FF
htmlLight,F8F8FF
html,FA8072
htmlWarm,FA8072
html,FAEBD7
htmlWarm,FAEBD7
htmlLight,FAEBD7
html,FAF0E6
htmlWarm,FAF0E6
htmlLight,FAF0E6
html,FAFAD2
htmlWarm,FAFAD2
htmlLight,FAFAD2
html,FDF5E6
htmlWarm,FDF5E6
htmlLight,FDF5E6
html,FF0000
htmlWarm,FF0000
html,FF00FF
html,FF1493
htmlWarm,FF1493
html,FF4500
htmlWarm,FF4500
html,FF6347
htmlWarm,FF6347
html,FF69B4
htmlWarm,FF69B4
htmlLight,FF69B4
html,FF7F50
htmlWarm,FF7F50
html,FF8C00
htmlWarm,FF8C00
html,FFA07A
htmlWarm,FFA07A
htmlLight,FFA07A
html,FFA500
htmlWarm,FFA500
html,FFB6C1
htmlWarm,FFB6C1
htmlLight,FFB6C1
html,FFC0CB
htmlWarm,FFC0CB
htmlLight,FFC0CB
html,FFD700
htmlWarm,FFD700
html,FFDAB9
htmlWarm,FFDAB9
htmlLight,FFDAB9
html,FFDEAD
htmlWarm,FFDEAD
htmlLight,FFDEAD
html,FFE4B5
htmlWarm,FFE4B5
htmlLight,FFE4B5
html,FFE4C4
htmlWarm,FFE4C4
htmlLight,FFE4C4
html,FFE4E1
htmlWarm,FFE4E1
htmlLight,FFE4E1
html,FFEBCD
htmlWarm,FFEBCD
htmlLight,FFEBCD
html,FFEFD5
htmlWarm,FFEFD5
htmlLight,FFEFD5
