fulfillmentLocationId,onHand,productId
color_warehouse_1,609,000000400
color_warehouse_1,211,000080400
color_warehouse_1,254,00008B400
color_warehouse_1,239,0000CD400
color_warehouse_1,648,0000FF400
color_warehouse_1,500,006400400
color_warehouse_1,147,008000400
color_warehouse_1,615,008080400
color_warehouse_1,884,008B8B400
color_warehouse_1,653,00BFFF400
color_warehouse_1,329,00CED1400
color_warehouse_1,75,00FA9A400
color_warehouse_1,420,00FF00400
color_warehouse_1,217,00FF7F400
color_warehouse_1,235,00FFFF400
color_warehouse_1,340,191970400
color_warehouse_1,363,1E90FF400
color_warehouse_1,212,20B2AA400
color_warehouse_1,200,228B22400
color_warehouse_1,652,2E8B57400
color_warehouse_1,470,2F4F4F400
color_warehouse_1,668,32CD32400
color_warehouse_1,892,3CB371400
color_warehouse_1,655,40E0D0400
color_warehouse_1,70,4169E1400
color_warehouse_1,350,4682B4400
color_warehouse_1,713,483D8B400
color_warehouse_1,130,48D1CC400
color_warehouse_1,589,4B0082400
color_warehouse_1,483,556B2F400
color_warehouse_1,60,5F9EA0400
color_warehouse_1,920,6495ED400
color_warehouse_1,211,663399400
color_warehouse_1,598,66CDAA400
color_warehouse_1,921,696969400
color_warehouse_1,962,6A5ACD400
color_warehouse_1,783,6B8E23400
color_warehouse_1,448,708090400
color_warehouse_1,259,778899400
color_warehouse_1,442,7B68EE400
color_warehouse_1,103,7CFC00400
color_warehouse_1,331,7FFF00400
color_warehouse_1,858,7FFFD4400
color_warehouse_1,373,800000400
color_warehouse_1,179,800080400
color_warehouse_1,167,808000400
color_warehouse_1,382,808080400
color_warehouse_1,822,87CEEB400
color_warehouse_1,897,87CEFA400
color_warehouse_1,96,8A2BE2400
color_warehouse_1,242,8B0000400
color_warehouse_1,833,8B008B400
color_warehouse_1,116,8B4513400
color_warehouse_1,355,8FBC8F400
color_warehouse_1,806,90EE90400
color_warehouse_1,430,9370DB400
color_warehouse_1,903,9400D3400
color_warehouse_1,675,98FB98400
color_warehouse_1,591,9932CC400
color_warehouse_1,405,9ACD32400
color_warehouse_1,883,A0522D400
color_warehouse_1,200,A52A2A400
color_warehouse_1,979,A9A9A9400
color_warehouse_1,554,ADD8E6400
color_warehouse_1,523,ADFF2F400
color_warehouse_1,537,AFEEEE400
color_warehouse_1,497,B0C4DE400
color_warehouse_1,588,B0E0E6400
