id,sku,name,sellingPrice,fullSize,thumbnail,active,published,type,parentId,variantAttributes,variantAttributes,surchargeType,surchargeValue
aa12zpa20monumentaldriveway0,aa12zpa20monumentaldriveway00000,AA12 ZPA20 Monumental Driveway 0,97,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-thumbnail.jpg,true,true,PARENT,,,,,
aa12zpa20monumentaldriveway0originalmedium,aa12zpa20monumentaldriveway0originalmedium0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,original|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg||Original,medium|||Medium,PERCENTAGE,0
aa12zpa20monumentaldriveway0originalsmall,aa12zpa20monumentaldriveway0originalsmall0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,original|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg||Original,small|||Small,PERCENTAGE,-10
aa12zpa20monumentaldriveway0originallarge,aa12zpa20monumentaldriveway0originallarge0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,original|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-original-thumbnail.jpg||Original,large|||Large,PERCENTAGE,10
aa12zpa20monumentaldriveway0invmedium,aa12zpa20monumentaldriveway0invmedium0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,inv|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg||Inverse,medium|||Medium,PERCENTAGE,0
aa12zpa20monumentaldriveway0invsmall,aa12zpa20monumentaldriveway0invsmall0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,inv|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg||Inverse,small|||Small,PERCENTAGE,-10
aa12zpa20monumentaldriveway0invlarge,aa12zpa20monumentaldriveway0invlarge0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,inv|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-inv-thumbnail.jpg||Inverse,large|||Large,PERCENTAGE,10
aa12zpa20monumentaldriveway0wbmedium,aa12zpa20monumentaldriveway0wbmedium0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,wb|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg||White and black,medium|||Medium,PERCENTAGE,0
aa12zpa20monumentaldriveway0wbsmall,aa12zpa20monumentaldriveway0wbsmall0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,wb|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg||White and black,small|||Small,PERCENTAGE,-10
aa12zpa20monumentaldriveway0wblarge,aa12zpa20monumentaldriveway0wblarge0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,wb|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-wb-thumbnail.jpg||White and black,large|||Large,PERCENTAGE,10
aa12zpa20monumentaldriveway0bwmedium,aa12zpa20monumentaldriveway0bwmedium0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,bw|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg||Black and white,medium|||Medium,PERCENTAGE,0
aa12zpa20monumentaldriveway0bwsmall,aa12zpa20monumentaldriveway0bwsmall0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,bw|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg||Black and white,small|||Small,PERCENTAGE,-10
aa12zpa20monumentaldriveway0bwlarge,aa12zpa20monumentaldriveway0bwlarge0000,AA12 ZPA20 Monumental Driveway 0,,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg,true,true,VARIANT,aa12zpa20monumentaldriveway0,bw|https://dplekh-avatars-project.surge.sh/images/AA12-ZPA20-Monumental-Driveway-0-bw-thumbnail.jpg||Black and white,large|||Large,PERCENTAGE,10
aa12bbs32extraordinarymushroom1,aa12bbs32extraordinarymushroom10000,AA12 BBS32 Extraordinary Mushroom 1,73,https://dplekh-avatars-project.surge.sh/images/AA12-BBS32-Extraordinary-Mushroom-1.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-BBS32-Extraordinary-Mushroom-1-thumbnail.jpg,true,true,PARENT,,,,,
aa12bbs32extraordinarymushroom1originalmedium,aa12bbs32extraordinarymushroom1originalmedium0000,AA12 BBS32 Extraordinary Mushroom 1,,https://dplekh-avatars-project.surge.sh/images/AA12-BBS32-Extraordinary-Mushroom-1-original.jpg,https://dplekh-avatars-project.surge.sh/images/AA12-BBS32-Extraordinary-Mushroom-1-original-thumbnail.jpg,true,true,VARIANT,aa12bbs32extraordinarymushroom1,original|https://dplekh-avatars-project.surge.sh/images/AA12-BBS32-Extraordinary-Mushroom-1-original-thumbnail.jpg||Original,medium|||Medium,PERCENTAGE,0
